sep=,
"Time","CompleteJob (INTERNAL)","CompleteJob (NOT_FOUND)","CreateProcessInstance (NOT_FOUND)","ActivateJobs (OK)","CompleteJob (OK)","CreateProcessInstance (OK)","DeployResource (OK)","FailJob (OK)","Topology (OK)","ActivateJobs (RESOURCE_EXHAUSTED)","CreateProcessInstance (RESOURCE_EXHAUSTED)","Total requests completed"
2024-02-14 19:20:10,,0,0,3.30,12.8,0,0,,0,,,16.1
2024-02-14 19:20:20,,0,0,3.50,11.3,0,0,,0,,,14.8
2024-02-14 19:20:30,,0,0,3.50,12.7,0,0,,0,,,16.2
2024-02-14 19:20:40,,0,0,4,12.8,0,0,,0,,,16.8
2024-02-14 19:20:50,,0,0,3.70,12.8,0,0,,0,,,16.5
2024-02-14 19:21:00,,0,0,3.60,11.4,0,0,,0,,,15
2024-02-14 19:21:10,,0,0,3.20,12.6,0,0,,0,,,15.8
2024-02-14 19:21:20,,0,0,3.60,12.8,0,0,,0,,,16.4
2024-02-14 19:21:30,,0,0,3.20,12,0,0,,0,,,15.2
2024-02-14 19:21:40,,0,0,2.10,8,0.200,0,,0,,,10.3
2024-02-14 19:21:50,,0,0,2.60,9.60,0,0,,0,,,12.2
2024-02-14 19:22:00,,0,0,3.20,12.1,0,0,,0,,,15.3
2024-02-14 19:22:10,,0,0,3.30,12,0,0,,0,,,15.3
2024-02-14 19:22:20,,0,0,3.60,12.7,0,0,,0,,,16.3
2024-02-14 19:22:30,,0,0,3.90,12.8,0,0,,0,,,16.7
2024-02-14 19:22:40,,0,0,3.10,11.4,0,0,,0,,,14.5
2024-02-14 19:22:50,,0,0,3,12.6,0,0,,0,,,15.6
2024-02-14 19:23:00,,0,0,3.90,12.8,0,0,,0,,,16.7
2024-02-14 19:23:10,,0,0,3.70,12.8,0,0,,0,,,16.5
2024-02-14 19:23:20,,0,0,3.40,11.2,0,0,,0,,,14.6
2024-02-14 19:23:30,,0,0,3.80,12.8,0,0,,0,,,16.6
2024-02-14 19:23:40,,0,0,3.10,12,0.200,0,,0,,,15.3
2024-02-14 19:23:50,,0,0,3.10,12.1,0,0,,0,,,15.2
2024-02-14 19:24:00,,0,0,3.20,12.8,0,0,,0,,,16
2024-02-14 19:24:10,,0,0,3.20,11.9,0,0,,0,,,15.1
2024-02-14 19:24:20,,0,0,3.60,12.8,0,0,,0,,,16.4
2024-02-14 19:24:30,,0,0,4,12.8,0,0,,0,,,16.8
2024-02-14 19:24:40,,0,0,3.70,12.8,0,0,,0,,,16.5
2024-02-14 19:24:50,,0,0,3.30,11.3,0,0,,0,,,14.6
2024-02-14 19:25:00,,0,0,3.40,12.7,0,0,,0,,,16.1
2024-02-14 19:25:10,,0,0,3.70,12.8,0,0,,0,,,16.5
2024-02-14 19:25:20,,0,0,3.70,12.8,0,0,,0,,,16.5
