sep=,
"Time","CompleteJob (INTERNAL)","CompleteJob (NOT_FOUND)","ActivateJobs (OK)","CompleteJob (OK)","CreateProcessInstance (OK)","DeployResource (OK)","FailJob (OK)","Topology (OK)","ActivateJobs (RESOURCE_EXHAUSTED)","CreateProcessInstance (RESOURCE_EXHAUSTED)","Total requests completed"
2024-02-10 11:27:10,,0,5.60,36,0,0,0,0,,,41.6
2024-02-10 11:27:20,,0,5.20,24.8,0,0,0,0,,,30
2024-02-10 11:27:30,,0,4.40,24.8,0,0,0,0,,,29.2
2024-02-10 11:27:40,,0,4.60,24,0,0,0,0,,,28.6
2024-02-10 11:27:50,,0,5.10,25.6,0,0,0,0,,,30.7
2024-02-10 11:28:00,,0,5.80,24,0,0,0,0,,,29.8
2024-02-10 11:28:10,,0,4,16,0,0,0,0,,,20
2024-02-10 11:28:20,,0,0,0,0,0,0,0,,,0
2024-02-10 11:28:30,,0,0,0,0,0,0,0,,,0
2024-02-10 11:28:40,,0,0,0,0,0,0,0,,,0
2024-02-10 11:28:50,,0,1,4,0.400,0,0,0,,,5.40
2024-02-10 11:29:00,,0.100,4.60,24.8,0,0,0,0,,,29.5
2024-02-10 11:29:10,,0,4.50,24,0,0,0,0,,,28.5
2024-02-10 11:29:20,,0,4.70,25.6,0,0,0,0,,,30.3
2024-02-10 11:29:30,,0,5.20,24.8,0,0,0,0,,,30
2024-02-10 11:29:40,,0,6,24.8,0,0,0,0,,,30.8
2024-02-10 11:29:50,,0,5.30,24.9,0.100,0,0,0,,,30.3
2024-02-10 11:30:00,,0.700,11.2,51.9,0.300,0,0,0,,,64.1
2024-02-10 11:30:10,,0,9.40,42.4,0,0,0,0,,,51.8
2024-02-10 11:30:20,,0,5,25.6,0,0,0,0,,,30.6
2024-02-10 11:30:30,,0,3.70,22.6,0,0,0,0,,,26.3
2024-02-10 11:30:40,,0,3.90,25.4,0,0,0,0,,,29.3
2024-02-10 11:30:50,,0,3.20,25.6,0,0,0,0,,,28.8
2024-02-10 11:31:00,,0,2.30,22.4,0,0,0,0,,,24.7
2024-02-10 11:31:10,,0,2,21.6,0,0,0,0,,,23.6
2024-02-10 11:31:20,,0,0,0,0,0,0,0,,,0
2024-02-10 11:31:30,,0,0,0,0,0,0,0,,,0
2024-02-10 11:31:40,,0,0,0,0,0,0,0,,,0
2024-02-10 11:31:50,,0,0,0,0,0,0,0,,,0
2024-02-10 11:32:00,,0,5.30,23.2,0.400,0,0,0,,,28.9
2024-02-10 11:32:10,,0,3.70,25.6,0,0,0,0,,,29.3
2024-02-10 11:32:20,,0,5,23.3,0,0,0,0,,,28.3
2024-02-10 11:32:30,,0,3.60,24.7,0,0,0,0,,,28.3
2024-02-10 11:32:40,,0,3.10,25.6,0,0,0,0,,,28.7
2024-02-10 11:32:50,,0,3,24,0,0,0,0,,,27
2024-02-10 11:33:00,,0,6.10,40.8,0.400,0,0,0,,,47.3
2024-02-10 11:33:10,,0,7,48.1,0,0,0,0,,,55.1
2024-02-10 11:33:20,,0,4.30,27.1,0,0,0,0,,,31.4
2024-02-10 11:33:30,,0,3.10,23.2,0,0,0,0,,,26.3
2024-02-10 11:33:40,,0,3.30,25.6,0,0,0,0,,,28.9
2024-02-10 11:33:50,,0,3.00,22.8,0,0,0,0,,,25.8
2024-02-10 11:34:00,,0,2.40,25.2,0,0,0,0,,,27.6
2024-02-10 11:34:10,,0,3.90,22.4,0,0,0,0,,,26.3
2024-02-10 11:34:20,,0,0.600,8.80,0,0,0,0,,,9.40
2024-02-10 11:34:30,,0,0,0,0,0,0,0,,,0
2024-02-10 11:34:40,,0,0,0,0,0,0,0,,,0
2024-02-10 11:34:50,,0,0,0,0,0,0,0,,,0
2024-02-10 11:35:00,,0,3.20,15.4,0.400,0,0,0,,,19
2024-02-10 11:35:10,,0,5,24.6,0,0,0,0,,,29.6
2024-02-10 11:35:20,,0,5,23.2,0,0,0,0,,,28.2
2024-02-10 11:35:30,,0,4.20,24.8,0,0,0,0,,,29
2024-02-10 11:35:40,,0,4.20,25.6,0,0,0,0,,,29.8
2024-02-10 11:35:50,,0,3.10,24.2,0,0,0,0,,,27.3
2024-02-10 11:36:00,,0,4.60,34.3,0.400,0,0,0,,,39.3
2024-02-10 11:36:10,,0,5.40,51.1,0,0,0,0,,,56.5
2024-02-10 11:36:20,,0,4.80,32.8,0,0,0,0,,,37.6
2024-02-10 11:36:30,,0,3.70,23.2,0,0,0,0,,,26.9
2024-02-10 11:36:40,,0,4.30,24.8,0,0,0,0,,,29.1
2024-02-10 11:36:50,,0,3.60,24,0,0,0,0,,,27.6
2024-02-10 11:37:00,,0,3.20,24.3,0,0,0,0,,,27.5
2024-02-10 11:37:10,,0,3.40,23.7,0,0,0,0,,,27.1
2024-02-10 11:37:20,,0,2,14.4,0,0,0,0,,,16.4
2024-02-10 11:37:30,,0,0,0,0,0,0,0,,,0
2024-02-10 11:37:40,,0,0,0,0,0,0,0,,,0
2024-02-10 11:37:50,,0,0,0,0,0,0,0,,,0
2024-02-10 11:38:00,,0,1.60,7.20,0.400,0,0,0,,,9.20
2024-02-10 11:38:10,,0,4.60,24.8,0,0,0,0,,,29.4
2024-02-10 11:38:20,,0,4.60,24.8,0,0,0,0,,,29.4
2024-02-10 11:38:30,,0,4.80,23.5,0,0,0,0,,,28.3
2024-02-10 11:38:40,,0,4.40,25.3,0,0,0,0,,,29.7
2024-02-10 11:38:50,,0,3.60,23.2,0,0,0,0,,,26.8
