sep=,
"Time","restworkerjava-5c575459f9-sx582 / worker / PKG","restworkerjava-69696875f9-hsbkr / worker / PKG","restworkerjava-698c49cff-vqd6b / worker / PKG","restworkerjava-865c45bdb4-r7jm4 / worker / PKG","restworkerjava-5c575459f9-sx582 / worker / DRAM","restworkerjava-69696875f9-hsbkr / worker / DRAM","restworkerjava-698c49cff-vqd6b / worker / DRAM","restworkerjava-865c45bdb4-r7jm4 / worker / DRAM","restworkerjava-5c575459f9-sx582 / worker / OTHER","restworkerjava-69696875f9-hsbkr / worker / OTHER","restworkerjava-698c49cff-vqd6b / worker / OTHER","restworkerjava-865c45bdb4-r7jm4 / worker / OTHER"
2024-02-17 23:43:40,,,0.451,,,,0.0444,,,,0,
2024-02-17 23:43:50,,,0.435,,,,0.0414,,,,0,
2024-02-17 23:44:00,,,0.627,,,,0.0672,,,,0,
2024-02-17 23:44:10,,,0.457,,,,0.0426,,,,0,
2024-02-17 23:44:20,,,0.406,,,,0.0438,,,,0,
2024-02-17 23:44:30,,,0.532,,,,0.0660,,,,0,
2024-02-17 23:44:40,,,0.451,,,,0.0471,,,,0,
2024-02-17 23:44:50,,,0.403,,,,0.0429,,,,0,
2024-02-17 23:45:00,,,0.545,,,,0.0609,,,,0,
2024-02-17 23:45:10,,,0.448,,,,0.0477,,,,0,
2024-02-17 23:45:20,,,0.436,,,,0.0435,,,,0,
2024-02-17 23:45:30,,,0.546,,,,0.0639,,,,0,
2024-02-17 23:45:40,,,0.424,,,,0.0432,,,,0,
2024-02-17 23:45:50,,,0.389,,,,0.0399,,,,0,
2024-02-17 23:46:00,,,0.541,,,,0.0489,,,,0,
2024-02-17 23:46:10,,,0.448,,,,0.0414,,,,0,
2024-02-17 23:46:20,,,0.451,,,,0.0432,,,,0,
2024-02-17 23:46:30,,,0.674,,,,0.0795,,,,0,
2024-02-17 23:46:40,,,0.444,,,,0.0447,,,,0,
2024-02-17 23:46:50,,,0.406,,,,0.0486,,,,0,
2024-02-17 23:47:00,,,0.448,,,,0.0492,,,,0,
2024-02-17 23:47:10,,,0.433,,,,0.0423,,,,0,
2024-02-17 23:47:20,,,0.430,,,,0.0441,,,,0,
2024-02-17 23:47:30,,,0.567,,,,0.0621,,,,0,
2024-02-17 23:47:40,,,0.499,,,,0.0423,,,,0,
2024-02-17 23:47:50,,,0.404,,,,0.0450,,,,0,
2024-02-17 23:48:00,,,0.534,,,,0.0606,,,,0,
2024-02-17 23:48:10,,,0.412,,,,0.0474,,,,0,
2024-02-17 23:48:20,,,0.462,,,,0.0432,,,,0,
2024-02-17 23:48:30,,,0.813,,,,0.0780,,,,0,
2024-02-17 23:48:40,,,0.442,,,,0.0450,,,,0,
2024-02-17 23:48:50,,,0.449,,,,0.0429,,,,0,
2024-02-17 23:49:00,,,0.617,,,,0.0597,,,,0,
2024-02-17 23:49:10,,,0.424,,,,0.0468,,,,0,
2024-02-17 23:49:20,,,0.462,,,,0.0468,,,,0,
2024-02-17 23:49:30,,,0.563,,,,0.0606,,,,0,
2024-02-17 23:49:40,,,0.452,,,,0.0450,,,,0,
2024-02-17 23:49:50,,,0.687,,,,0.0549,,,,0,
2024-02-17 23:50:00,,,0.540,,,,0.0612,,,,0,
2024-02-17 23:50:10,,,0.424,,,,0.0456,,,,0,
2024-02-17 23:50:20,,,0.372,,,,0.0483,,,,0,
2024-02-17 23:50:30,,,0.501,,,,0.0582,,,,0,
2024-02-17 23:50:40,,,0.374,,,,0.0480,,,,0,
2024-02-17 23:50:50,,,0.470,,,,0.0429,,,,0,
2024-02-17 23:51:00,,,0.577,,,,0.0552,,,,0,
2024-02-17 23:51:10,,,0.488,,,,0.0429,,,,0,
2024-02-17 23:51:20,,,0.473,,,,0.0435,,,,0,
2024-02-17 23:51:30,,,0.593,,,,0.0615,,,,0,
2024-02-17 23:51:40,,,0.431,,,,0.0441,,,,0,
2024-02-17 23:51:50,,,0.508,,,,0.0453,,,,0,
