sep=,
"Time","restworkerjava-586c6d968c-rnl6d / worker / PKG","restworkerjava-6645c55fc5-nrl9d / worker / PKG","restworkerjava-6c74555757-v7cqd / worker / PKG","restworkerjava-84544b4f5-dcldx / worker / PKG","restworkerjava-586c6d968c-rnl6d / worker / DRAM","restworkerjava-6645c55fc5-nrl9d / worker / DRAM","restworkerjava-6c74555757-v7cqd / worker / DRAM","restworkerjava-84544b4f5-dcldx / worker / DRAM","restworkerjava-586c6d968c-rnl6d / worker / OTHER","restworkerjava-6645c55fc5-nrl9d / worker / OTHER","restworkerjava-6c74555757-v7cqd / worker / OTHER","restworkerjava-84544b4f5-dcldx / worker / OTHER"
2024-02-16 12:00:10,,0.217,,,,0.0201,,,,0,,
2024-02-16 12:00:20,,0.318,,,,0.0273,,,,0,,
2024-02-16 12:00:30,,0.217,,,,0.0183,,,,0,,
2024-02-16 12:00:40,,0.212,,,,0.0195,,,,0,,
2024-02-16 12:00:50,,0.293,,,,0.0270,,,,0,,
2024-02-16 12:01:00,,0.212,,,,0.0183,,,,0,,
2024-02-16 12:01:10,,0.247,,,,0.0192,,,,0,,
2024-02-16 12:01:20,,0.295,,,,0.0255,,,,0,,
2024-02-16 12:01:30,,0.223,,,,0.0192,,,,0,,
2024-02-16 12:01:40,,0.219,,,,0.0186,,,,0,,
2024-02-16 12:01:50,,0.296,,,,0.0249,,,,0,,
2024-02-16 12:02:00,,0.213,,,,0.0183,,,,0,,
2024-02-16 12:02:10,,0.230,,,,0.0198,,,,0,,
2024-02-16 12:02:20,,0.287,,,,0.0261,,,,0,,
2024-02-16 12:02:30,,0.224,,,,0.0183,,,,0,,
2024-02-16 12:02:40,,0.246,,,,0.0198,,,,0,,
2024-02-16 12:02:50,,0.296,,,,0.0264,,,,0,,
2024-02-16 12:03:00,,0.224,,,,0.0189,,,,0,,
2024-02-16 12:03:10,,0.219,,,,0.0186,,,,0,,
2024-02-16 12:03:20,,0.284,,,,0.0243,,,,0,,
2024-02-16 12:03:30,,0.230,,,,0.0201,,,,0,,
2024-02-16 12:03:40,,0.215,,,,0.0186,,,,0,,
2024-02-16 12:03:50,,0.286,,,,0.0249,,,,0,,
2024-02-16 12:04:00,,0.220,,,,0.0189,,,,0,,
2024-02-16 12:04:10,,0.221,,,,0.0192,,,,0,,
2024-02-16 12:04:20,,0.284,,,,0.0261,,,,0,,
2024-02-16 12:04:30,,0.217,,,,0.0186,,,,0,,
2024-02-16 12:04:40,,0.214,,,,0.0180,,,,0,,
2024-02-16 12:04:50,,0.269,,,,0.0237,,,,0,,
2024-02-16 12:05:00,,0.200,,,,0.0171,,,,0.000300,,
2024-02-16 12:05:10,,0.200,,,,0.0174,,,,0.000300,,
2024-02-16 12:05:20,,0.264,,,,0.0231,,,,0,,
2024-02-16 12:05:30,,0.199,,,,0.0171,,,,0,,
2024-02-16 12:05:40,,0.199,,,,0.0171,,,,0.000300,,
2024-02-16 12:05:50,,0.264,,,,0.0228,,,,0.000600,,
2024-02-16 12:06:00,,0.199,,,,0.0171,,,,0,,
2024-02-16 12:06:10,,0.199,,,,0.0174,,,,0.000300,,
2024-02-16 12:06:20,,0.266,,,,0.0231,,,,0.000300,,
2024-02-16 12:06:30,,0.200,,,,0.0174,,,,0,,
2024-02-16 12:06:40,,0.200,,,,0.0174,,,,0,,
2024-02-16 12:06:50,,0.266,,,,0.0234,,,,0.000300,,
2024-02-16 12:07:00,,0.201,,,,0.0171,,,,0,,
2024-02-16 12:07:10,,0.199,,,,0.0174,,,,0.000300,,
2024-02-16 12:07:20,,0.264,,,,0.0231,,,,0.000300,,
2024-02-16 12:07:30,,0.201,,,,0.0171,,,,0,,
2024-02-16 12:07:40,,0.199,,,,0.0171,,,,0.000300,,
2024-02-16 12:07:50,,0.266,,,,0.0231,,,,0.000600,,
2024-02-16 12:08:00,,0.199,,,,0.0171,,,,0.000300,,
2024-02-16 12:08:10,,0.199,,,,0.0174,,,,0.000300,,
2024-02-16 12:08:20,,0.266,,,,0.0234,,,,0.000300,,
2024-02-16 12:08:30,,0.200,,,,0.0174,,,,0,,
2024-02-16 12:08:40,,0.199,,,,0.0168,,,,0.000300,,
2024-02-16 12:08:50,,0.269,,,,0.0225,,,,0.000300,,
2024-02-16 12:09:00,,0.200,,,,0.0168,,,,0,,
2024-02-16 12:09:10,,0.199,,,,0.0171,,,,0,,
2024-02-16 12:09:20,,0.267,,,,0.0225,,,,0.000300,,
2024-02-16 12:09:30,,0.200,,,,0.0168,,,,0,,
2024-02-16 12:09:40,,0.199,,,,0.0171,,,,0,,
2024-02-16 12:09:50,,0.582,,,,0.0360,,,,0,,
2024-02-16 12:10:00,,0.497,,,,0.0312,,,,0,,
2024-02-16 12:10:10,,0.331,,,,0.0270,,,,0,,
2024-02-16 12:10:20,,0.671,,,,0.0402,,,,0,,
2024-02-16 12:10:30,,0.339,,,,0.0288,,,,0,,
2024-02-16 12:10:40,,0.338,,,,0.0285,,,,0,,
2024-02-16 12:10:50,,0.441,,,,0.0393,,,,0,,
2024-02-16 12:11:00,,0.352,,,,0.0291,,,,0,,
2024-02-16 12:11:10,,0.348,,,,0.0297,,,,0,,
2024-02-16 12:11:20,,0.463,,,,0.0399,,,,0,,
2024-02-16 12:11:30,,0.362,,,,0.0321,,,,0,,
2024-02-16 12:11:40,,0.349,,,,0.0306,,,,0,,
2024-02-16 12:11:50,,0.445,,,,0.0333,,,,0,,
2024-02-16 12:12:00,,0.325,,,,0.0330,,,,0,,
2024-02-16 12:12:10,,0.349,,,,0.0300,,,,0,,
2024-02-16 12:12:20,,0.488,,,,0.0402,,,,0,,
2024-02-16 12:12:30,,0.339,,,,0.0300,,,,0,,
2024-02-16 12:12:40,,0.333,,,,0.0300,,,,0,,
2024-02-16 12:12:50,,0.419,,,,0.0357,,,,0,,
2024-02-16 12:13:00,,0.320,,,,0.0285,,,,0,,
2024-02-16 12:13:10,,0.391,,,,0.0288,,,,0,,
2024-02-16 12:13:20,,0.563,,,,0.0378,,,,0,,
2024-02-16 12:13:30,,0.371,,,,0.0303,,,,0,,
