sep=,
"Time","restworkerjava-58d6f48b94-rbd6b / worker / PKG","restworkerjava-7885b99b5f-9mrn5 / worker / PKG","restworkerjava-85d7c5b9df-wpdkg / worker / PKG","restworkerjava-58d6f48b94-rbd6b / worker / DRAM","restworkerjava-7885b99b5f-9mrn5 / worker / DRAM","restworkerjava-85d7c5b9df-wpdkg / worker / DRAM","restworkerjava-58d6f48b94-rbd6b / worker / OTHER","restworkerjava-7885b99b5f-9mrn5 / worker / OTHER","restworkerjava-85d7c5b9df-wpdkg / worker / OTHER"
2024-02-10 11:47:40,0.188,,,0.0195,,,0,,
2024-02-10 11:47:50,0.176,,,0.0192,,,0,,
2024-02-10 11:48:00,0.235,,,0.0267,,,0,,
2024-02-10 11:48:10,0.217,,,0.0231,,,0,,
2024-02-10 11:48:20,0.236,,,0.0249,,,0,,
2024-02-10 11:48:30,0.292,,,0.0300,,,0,,
2024-02-10 11:48:40,0.181,,,0.0195,,,0,,
2024-02-10 11:48:50,0.196,,,0.0192,,,0,,
2024-02-10 11:49:00,0.242,,,0.0279,,,0,,
2024-02-10 11:49:10,0.177,,,0.0204,,,0,,
2024-02-10 11:49:20,0.187,,,0.0222,,,0,,
2024-02-10 11:49:30,0.210,,,0.0270,,,0,,
2024-02-10 11:49:40,0.120,,,0.0177,,,0,,
2024-02-10 11:49:50,0.121,,,0.0174,,,0,,
2024-02-10 11:50:00,0.161,,,0.0240,,,0,,
2024-02-10 11:50:10,0.120,,,0.0183,,,0,,
2024-02-10 11:50:20,0.189,,,0.0219,,,0,,
2024-02-10 11:50:30,0.258,,,0.0264,,,0,,
2024-02-10 11:50:40,0.183,,,0.0186,,,0,,
2024-02-10 11:50:50,0.176,,,0.0192,,,0,,
2024-02-10 11:51:00,0.260,,,0.0261,,,0,,
2024-02-10 11:51:10,0.188,,,0.0195,,,0,,
2024-02-10 11:51:20,0.241,,,0.0240,,,0,,
2024-02-10 11:51:30,0.345,,,0.0300,,,0,,
2024-02-10 11:51:40,0.193,,,0.0198,,,0,,
2024-02-10 11:51:50,0.174,,,0.0210,,,0,,
2024-02-10 11:52:00,0.256,,,0.0273,,,0,,
2024-02-10 11:52:10,0.187,,,0.0204,,,0,,
2024-02-10 11:52:20,0.194,,,0.0210,,,0,,
2024-02-10 11:52:30,0.248,,,0.0273,,,0,,
2024-02-10 11:52:40,0.120,,,0.0180,,,0,,
2024-02-10 11:52:50,0.120,,,0.0177,,,0,,
2024-02-10 11:53:00,0.162,,,0.0240,,,0,,
2024-02-10 11:53:10,0.120,,,0.0177,,,0,,
2024-02-10 11:53:20,0.245,,,0.0216,,,0,,
2024-02-10 11:53:30,0.243,,,0.0273,,,0,,
2024-02-10 11:53:40,0.164,,,0.0201,,,0,,
2024-02-10 11:53:50,0.189,,,0.0198,,,0,,
2024-02-10 11:54:00,0.244,,,0.0267,,,0,,
2024-02-10 11:54:10,0.218,,,0.0201,,,0,,
2024-02-10 11:54:20,0.209,,,0.0240,,,0,,
2024-02-10 11:54:30,0.336,,,0.0303,,,0,,
2024-02-10 11:54:40,0.193,,,0.0207,,,0,,
2024-02-10 11:54:50,0.168,,,0.0201,,,0,,
